Sample ID,Facility,Exhibit,Tissue Type,dDocent Rename,Source,DOB,Date Sampled,Age (days),Age (years),Sex,DW (cm),DL (cm),Mass (kg),Comments
028*875*773,Buffalo,Offsite,Fin Clip,CR1_FC,Aquarium,1/8/23,9/12/23,247,1,Female,51,31,1.84,
028*875*773,Buffalo,Offsite,Whole Blood,CR1_WB,Aquarium,1/8/23,9/12/23,247,1,Female,51,31,1.84,
607*612*106,Buffalo,Offsite,Fin Clip,CR2_FC,Aquarium,1/8/23,9/12/23,247,1,Male,47.5,31.4,1.36,
607*612*106,Buffalo,Offsite,Whole Blood,CR2_WB,Aquarium,1/8/23,9/12/23,247,1,Male,47.5,31.4,1.36,
Baby #1,RATS,Raybay,Fin Clip,CR3_FC,Aquarium,8/1/23,8/8/23,7,0,Female,NA,NA,NA,
Baby #1,RATS,Raybay,Whole Blood,CR3_WB,Aquarium,8/1/23,8/8/23,7,0,Female,NA,NA,NA,
Baby #2,RATS,Raybay,Fin Clip,CR4_FC,Aquarium,8/1/23,8/8/23,7,0,Female,NA,NA,NA,
Baby #2,RATS,Raybay,Whole Blood,CR4_WB,Aquarium,8/1/23,8/8/23,7,0,Female,NA,NA,NA,
GB-RB-00-03-F,RACA,Raybay,Fin Clip,CR5_FC,Wild,Pre-2000,9/26/23,8760,24,Female,77,53.4,10.4,Exact age unknown
GB-RB-00-03-F,RACA,Raybay,Whole Blood,CR5_WB,Wild,Pre-2000,9/26/23,8760,24,Female,77,53.4,10.4,Exact age unknown
GB-RB-00-07-F,RACA,Raybay,Fin Clip,CR6_FC,Wild,Pre-2000,9/26/23,8760,24,Female,75.5,51.6,9.7,Exact age unknown
GB-RB-00-07-F,RACA,Raybay,Whole Blood,CR6_WB,Wild,Pre-2000,9/26/23,8760,24,Female,75.5,51.6,9.7,Exact age unknown
GB-RB-00-09-F,RACA,Raybay,Fin Clip,CR7_FC,Wild,Pre-2000,9/26/23,8760,24,Female,76.2,54,9.1,Exact age unknown
GB-RB-00-09-F,RACA,Raybay,Whole Blood,CR7_WB,Wild,Pre-2000,9/26/23,8760,24,Female,76.2,54,9.1,Exact age unknown
GB-RB-02-01-M,RACA,Raybay,Fin Clip,CR8_FC,Aquarium,3/2/02,9/26/23,7878,21,Male,80.2,55.5,9.1,
GB-RB-02-01-M,RACA,Raybay,Whole Blood,CR8_WB,Aquarium,3/2/02,9/26/23,7878,21,Male,80.2,55.5,9.1,
GB-RB-03-01-M,RACA,Raybay,Fin Clip,CR9_FC,Aquarium,1/11/03,9/26/23,7563,20,Male,77.2,49.3,7.7,
GB-RB-03-01-M,RACA,Raybay,Whole Blood,CR9_WB,Aquarium,1/11/03,9/26/23,7563,20,Male,77.2,49.3,7.7,
GB-RB-03-02,RATS,MSBQ1,Fin Clip,CR10_FC,Aquarium,1/11/03,8/8/23,7514,20,Female,NA,NA,NA,
GB-RB-03-02,RATS,MSBQ1,Whole Blood,CR10_WB,Aquarium,1/11/03,8/8/23,7514,20,Female,NA,NA,NA,
GB-RB-03-04-M,RAMB,Raybay,Fin Clip,CR11_FC,Aquarium,11/21/03,9/7/23,7230,19,Male,NA,NA,NA,
GB-RB-03-04-M,RAMB,Raybay,Whole Blood,CR11_WB,Aquarium,11/21/03,9/7/23,7230,19,Male,NA,NA,NA,
GB-RB-03-08,RATS,Raybay,Fin Clip,CR12_FC,Aquarium,12/15/03,8/8/23,7176,19,Female,NA,NA,NA,
GB-RB-03-08,RATS,Raybay,Whole Blood,CR12_WB,Aquarium,12/15/03,8/8/23,7176,19,Female,NA,NA,NA,
GB-RB-04-03-M,RAMB,Raybay,Fin Clip,CR13_FC,Aquarium,10/29/04,9/7/23,6887,18,Male,NA,NA,NA,
GB-RB-04-03-M,RAMB,Raybay,Whole Blood,CR13_WB,Aquarium,10/29/04,9/7/23,6887,18,Male,NA,NA,NA,
GB-RB-06-03-F,RAMB,Raybay,Fin Clip,CR14_FC,Aquarium,5/2/06,9/7/23,6337,17,Female,NA,NA,NA,
GB-RB-06-03-F,RAMB,Raybay,Whole Blood,CR14_WB,Aquarium,5/2/06,9/7/23,6337,17,Female,NA,NA,NA,
GB-RB-09-03-F,RACA,Raybay,Fin Clip,CR15_FC,Aquarium,4/7/09,9/26/23,5285,14,Female,77.6,56.8,11.5,
GB-RB-09-03-F,RACA,Raybay,Whole Blood,CR15_WB,Aquarium,4/7/09,9/26/23,5285,14,Female,77.6,56.8,11.5,
GB-RB-09-10-M,RACA,Raybay,Fin Clip,CR16_FC,Aquarium,5/12/09,9/26/23,5250,14,Male,76.4,54.1,8.1,
GB-RB-09-10-M,RACA,Raybay,Whole Blood,CR16_WB,Aquarium,5/12/09,9/26/23,5250,14,Male,76.4,54.1,8.1,
GB-RB-12-01-F,RACA,Raybay,Fin Clip,CR17_FC,Aquarium,2/8/12,9/26/23,4248,11,Female,73.9,55.4,10.2,
GB-RB-12-01-F,RACA,Raybay,Whole Blood,CR17_WB,Aquarium,2/8/12,9/26/23,4248,11,Female,73.9,55.4,10.2,
GB-RB-12-03-F,RACA,Raybay,Fin Clip,CR18_FC,Aquarium,2/24/12,9/26/23,4232,11,Female,81,58.4,12,
GB-RB-12-03-F,RACA,Raybay,Whole Blood,CR18_WB,Aquarium,2/24/12,9/26/23,4232,11,Female,81,58.4,12,
GB-RB-13-05-M,RAMB,Raybay,Fin Clip,CR19_FC,Aquarium,3/8/13,9/7/23,3835,10,Male,NA,NA,NA,
GB-RB-13-05-M,RAMB,Raybay,Whole Blood,CR19_WB,Aquarium,3/8/13,9/7/23,3835,10,Male,NA,NA,NA,
GB-RB-15-05,RATS,Raybay,Fin Clip,CR20_FC,Aquarium,3/6/15,8/8/23,3077,8,Female,NA,NA,NA,
GB-RB-15-05,RATS,Raybay,Whole Blood,CR20_WB,Aquarium,3/6/15,8/8/23,3077,8,Female,NA,NA,NA,
GB-RB-15-07,RATS,Raybay,Fin Clip,CR21_FC,Aquarium,10/6/15,8/8/23,2863,7,Female,NA,NA,NA,
GB-RB-15-07,RATS,Raybay,Whole Blood,CR21_WB,Aquarium,10/6/15,8/8/23,2863,7,Female,NA,NA,NA,
GB-RB-18-09-M,RAMB,Raybay,Fin Clip,CR22_FC,Aquarium,11/18/18,9/7/23,1754,4,Male,NA,NA,NA,
GB-RB-18-09-M,RAMB,Raybay,Whole Blood,CR22_WB,Aquarium,11/18/18,9/7/23,1754,4,Male,NA,NA,NA,
GB-RB-18-11,RATS,Raybay,Fin Clip,CR23_FC,Aquarium,12/27/18,8/8/23,1685,4,Female,NA,NA,NA,
GB-RB-18-11,RATS,Raybay,Whole Blood,CR23_WB,Aquarium,12/27/18,8/8/23,1685,4,Female,NA,NA,NA,
GB-RB-18-28,RATS,Raybay,Fin Clip,CR24_FC,Aquarium,8/30/18,8/8/23,1804,4,Female,NA,NA,NA,Actually GB-RB-18-08
GB-RB-18-28,RATS,Raybay,Whole Blood,CR24_WB,Aquarium,8/30/18,8/8/23,1804,4,Female,NA,NA,NA,Actually GB-RB-18-08
GB-RB-19-02-M,RAMB,Raybay,Fin Clip,CR25_FC,Aquarium,10/2/19,9/7/23,1436,3,Male,NA,NA,NA,
GB-RB-19-02-M,RAMB,Raybay,Whole Blood,CR25_WB,Aquarium,10/2/19,9/7/23,1436,3,Male,NA,NA,NA,
GB-RB-19-03-F,Buffalo,Offsite,Fin Clip,CR26_FC,Aquarium,10/2/19,9/12/23,1441,3,Female,83.5,55,9.5,
GB-RB-19-03-F,Buffalo,Offsite,Whole Blood,CR26_WB,Aquarium,10/2/19,9/12/23,1441,3,Female,83.5,55,9.5,
GB-RB-19-04,RATS,MSBQ1,Fin Clip,CR27_FC,Aquarium,10/2/19,8/8/23,1406,3,Female,NA,NA,NA,
GB-RB-19-04,RATS,MSBQ1,Whole Blood,CR27_WB,Aquarium,10/2/19,8/8/23,1406,3,Female,NA,NA,NA,
GB-RB-20-01,RATS,MSBQ1,Fin Clip,CR28_FC,Aquarium,8/13/20,8/8/23,1090,2,Female,NA,NA,NA,
GB-RB-20-01,RATS,MSBQ1,Whole Blood,CR28_WB,Aquarium,8/13/20,8/8/23,1090,2,Female,NA,NA,NA,
GB-RB-20-02-M,RAMB,Raybay,Fin Clip,CR29_FC,Aquarium,8/13/20,9/7/23,1120,3,Male,NA,NA,NA,
GB-RB-20-02-M,RAMB,Raybay,Whole Blood,CR29_WB,Aquarium,8/13/20,9/7/23,1120,3,Male,NA,NA,NA,
GB-RB-20-03,RATS,MSBQ1,Fin Clip,CR30_FC,Aquarium,8/13/20,8/8/23,1090,2,Female,NA,NA,NA,
GB-RB-20-03,RATS,MSBQ1,Whole Blood,CR30_WB,Aquarium,8/13/20,8/8/23,1090,2,Female,NA,NA,NA,
GB-RB-20-04-F,Buffalo,Offsite,Fin Clip,CR31_FC,Aquarium,8/13/21,9/12/23,760,2,Female,74,50,6.74,
GB-RB-20-04-F,Buffalo,Offsite,Whole Blood,CR31_WB,Aquarium,8/13/21,9/12/23,760,2,Female,74,50,6.74,
Q1 MSB-26,RATS,MSBQ1,Fin Clip,CR32_FC,Aquarium,1/29/21,8/8/23,921,2,Female,NA,NA,NA,
Q1 MSB-26,RATS,MSBQ1,Whole Blood,CR32_WB,Aquarium,1/29/21,8/8/23,921,2,Female,NA,NA,NA,
Q1 MSB-33,RATS,MSBQ1,Fin Clip,CR33_FC,Aquarium,1/29/21,8/8/23,921,2,Female,NA,NA,NA,
Q1 MSB-33,RATS,MSBQ1,Whole Blood,CR33_WB,Aquarium,1/29/21,8/8/23,921,2,Female,NA,NA,NA,
TO-RB-14-09-F,RACA,Raybay,Fin Clip,CR34_FC,Aquarium,4/6/14,9/26/23,3460,9,Female,81.6,57.2,10.5,
TO-RB-14-09-F,RACA,Raybay,Whole Blood,CR34_WB,Aquarium,4/6/14,9/26/23,3460,9,Female,81.6,57.2,10.5,
TO-RB-14-10-M,RACA,Raybay,Fin Clip,CR35_FC,Aquarium,4/15/14,9/26/23,3451,9,Male,74.8,50.1,6.5,
TO-RB-14-10-M,RACA,Raybay,Whole Blood,CR35_WB,Aquarium,4/15/14,9/26/23,3451,9,Male,74.8,50.1,6.5,
TO-RB-16-02-F,RACA,Raybay,Fin Clip,CR36_FC,Aquarium,1/3/16,9/26/23,2823,7,Female,86,58.5,12.9,
TO-RB-16-02-F,RACA,Raybay,Whole Blood,CR36_WB,Aquarium,1/3/16,9/26/23,2823,7,Female,86,58.5,12.9,
TO-RB-16-04-F,RACA,Raybay,Fin Clip,CR37_FC,Aquarium,1/1/16,9/26/23,2825,7,Female,84.4,58.6,13.2,
TO-RB-16-04-F,RACA,Raybay,Whole Blood,CR37_WB,Aquarium,1/1/16,9/26/23,2825,7,Female,84.4,58.6,13.2,
TO-RB-16-06-F,RAMB,Raybay,Fin Clip,CR38_FC,Aquarium,11/2/16,9/7/23,2500,6,Female,NA,NA,NA,
TO-RB-16-06-F,RAMB,Raybay,Whole Blood,CR38_WB,Aquarium,11/2/16,9/7/23,2500,6,Female,NA,NA,NA,
TO-RB-16-08,RATS,Raybay,Fin Clip,CR39_FC,Aquarium,11/16/16,8/8/23,2456,6,Male,NA,NA,NA,
TO-RB-16-08,RATS,Raybay,Whole Blood,CR39_WB,Aquarium,11/16/16,8/8/23,2456,6,Male,NA,NA,NA,
TO-RB-17-06,RATS,Raybay,Fin Clip,CR40_FC,Aquarium,10/14/17,8/8/23,2124,5,Male,NA,NA,NA,
TO-RB-17-06,RATS,Raybay,Whole Blood,CR40_WB,Aquarium,10/14/17,8/8/23,2124,5,Male,NA,NA,NA,
TO-RB-18-01-F,RAMB,Raybay,Fin Clip,CR41_FC,Aquarium,7/11/18,9/7/23,1884,5,Female,NA,NA,NA,
TO-RB-18-01-F,RAMB,Raybay,Whole Blood,CR41_WB,Aquarium,7/11/18,9/7/23,1884,5,Female,NA,NA,NA,
TO-RB-18-02-M,RAMB,Raybay,Fin Clip,CR42_FC,Aquarium,9/13/18,9/7/23,1820,4,Male,NA,NA,NA,
TO-RB-18-02-M,RAMB,Raybay,Whole Blood,CR42_WB,Aquarium,9/13/18,9/7/23,1820,4,Male,NA,NA,NA,
TO-RB-18-04-M,RAMB,Raybay,Fin Clip,CR43_FC,Aquarium,9/19/18,9/7/23,1814,4,Male,NA,NA,NA,
TO-RB-18-04-M,RAMB,Raybay,Whole Blood,CR43_WB,Aquarium,9/19/18,9/7/23,1814,4,Male,NA,NA,NA,
TO-RB-18-05-F,RAMB,Raybay,Fin Clip,CR44_FC,Aquarium,9/22/18,9/7/23,1811,4,Female,NA,NA,NA,
TO-RB-18-05-F,RAMB,Raybay,Whole Blood,CR44_WB,Aquarium,9/22/18,9/7/23,1811,4,Female,NA,NA,NA,
TO-RB-20-01-M,RACA,Raybay,Fin Clip,CR45_FC,Aquarium,1/11/20,9/26/23,1354,3,Male,78,50.9,7.4,
TO-RB-20-01-M,RACA,Raybay,Whole Blood,CR45_WB,Aquarium,1/11/20,9/26/23,1354,3,Male,78,50.9,7.4,